,Latitude,Longitude,temperature
532,47.42924,15.2723,2.68
533,46.90729,15.68101,3.97
534,47.35339,15.34467,2.62
535,47.43637,13.92059,1
536,47.44777,13.94683,1
537,47.48764,14.01699,1
538,47.48386,13.98065,1
539,47.1896,14.68983,2.67
540,46.99036,15.2915,2.83
541,46.94421,16.01862,4.01
542,47.18835,14.7601,2.66
543,47.03069,15.18635,2.58
544,47.60213,13.75952,3
545,47.10869,14.19119,1.43
546,47.03757,15.75602,3.94
547,46.76701,15.45672,4.01
548,46.95325,15.92733,3.99
549,47.09797,15.8332,5
550,47.42385,13.84744,-3.28
551,46.85286,15.99551,4.04
552,46.84426,15.55166,3.98
553,46.81626,15.58108,4
554,47.08963,13.99413,1.4
555,47.14341,15.67033,2.36
556,47.55817,14.3195,1
557,47.43724,15.92247,5
558,47.13812,14.30833,1.45
559,47.19032,15.65758,2.38
560,47.46664,15.70858,5
561,47.1707,14.67423,2.67
562,46.84541,15.89677,4.03
563,47.14294,15.88976,5
564,47.15685,14.40498,1.47
565,47.29137,15.56369,2.47
566,46.7089,15.78772,4.08
567,47.39673,16.05121,5
568,47.22179,14.84455,2.97
569,47.35097,15.69895,5
570,47.03669,15.08936,2.67
571,47.06293,15.09774,2.67
572,47.19646,14.80647,2.99
573,47.13783,16.10311,5
574,47.26933,11.46327,2
575,47.21844,10.75404,-0.84
576,47.10729,10.95325,-2.65
577,47.21618,10.86304,-0.89
578,47.21459,11.02088,-0.96
579,46.99263,11.0123,-2.55
580,47.28657,10.9884,-1.01
581,47.17346,10.73987,-2.44
582,47.30635,11.61144,2
583,47.14124,11.4531,2
584,47.34234,11.19692,2
585,47.09937,11.46577,2
586,47.16016,11.36147,2
587,47.31165,11.11318,-1.07
588,47.26506,11.28762,2
589,47.49686,12.49173,3
590,47.52081,12.37238,3
591,47.60089,12.47101,3
592,47.46598,12.38367,3
593,47.67579,12.39668,3
594,47.58591,12.60161,3
595,47.43801,12.19272,2
596,47.53664,12.10925,2
597,47.60476,12.18625,3
598,47.64473,12.19857,3
599,47.46133,11.93328,2
600,47.52061,12.19584,3
601,47.65025,12.34883,3
602,47.12525,10.58194,-2.17
603,47.13535,10.4232,-6
604,47.0253,10.30841,-8
605,46.90767,10.49664,-8.1
606,47.0938,10.66708,-2.21
607,47.09243,10.4783,-1.99
608,47.03722,10.62786,-2.06
609,47.1692,10.59562,-2.27
610,46.76365,12.56788,-4.78
611,46.78572,12.68559,-4.78
612,46.81186,12.84006,-4.78
613,46.92391,12.59504,-4.78
614,46.91593,12.37028,-4.78
615,47.4058,10.75715,-1.02
616,47.42287,10.91929,2
617,47.57822,10.42948,3.01
618,47.52525,10.45282,3.02
619,47.40016,10.57193,-0.95
620,47.55516,10.65912,2.51
621,47.36386,11.72565,2
622,47.40719,11.8369,2
623,47.44997,9.812605,3.54
624,47.38648,9.884267,3.54
625,47.31608,10.15241,-0.09
626,47.50483,9.707319,3.54
627,47.28128,9.895125,-0.2
628,47.43187,9.72632,3.54
629,47.43422,9.894109,3.54
630,47.46391,9.961991,3.55
631,47.48597,9.676251,3.48
632,47.36579,9.661857,3.53
633,47.46189,9.878266,3.54
634,47.25766,9.729887,3.53
635,47.22002,10.1533,0.01
636,47.5337,9.73669,3.54
637,47.45071,9.898029,3.54
638,47.17514,9.77151,-0.19
639,47.3089,9.589528,3.53
640,47.11774,9.855641,-2.51
641,47.21955,9.840982,-0.18
642,47.35864,10.18074,-0.12
643,47.51494,9.861914,3.55
644,47.26123,10.08066,-0.08
645,47.41991,9.862259,3.54
646,47.23758,9.906198,-0.16
647,47.30924,9.618238,3.53
648,47.22404,9.655078,3.53
649,47.26104,10.19009,-0.01
650,48.17344,16.46782,3.92
651,49.5484,5.494433,3
652,49.55759,5.67611,3
653,49.55826,5.839747,3
654,49.55875,5.811701,3
655,49.68191,5.846475,2.52
656,49.68934,5.306285,3
657,49.69321,5.761011,3
658,49.7048,5.371628,3
659,49.70329,5.836866,2.52
660,49.71125,5.296534,3
661,49.71373,5.815684,3
662,49.71663,5.640063,3
663,49.72249,5.61094,3
664,49.73203,5.633507,3
665,49.79058,5.054093,2
666,49.82531,5.395623,2.57
667,49.84102,5.245287,2
668,49.85003,5.273111,2
669,49.86065,5.274774,2
670,49.89099,5.39018,2.58
671,49.91316,5.128812,2
672,50.24315,4.556841,2.26
673,50.25084,5.343369,2.2
674,50.28182,4.894629,2.51
675,50.28432,4.477919,2.62
676,50.28197,5.449563,1.99
677,50.27433,6.135466,2.02
